URL,Status Code,Error Type,Error Message,Stack Trace Line
http://127.0.0.1:8000/assets/assignments,500,Unknown Error,"Attempt to read property ""name"" on null",
http://127.0.0.1:8000/password-accounts,200,Unknown Error,Warning: Viewing password will be logged in audit trail,
http://127.0.0.1:8000/lang/ar,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/assets/assets,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/assets/logs,500,Unknown Error,No specific error message found,
http://127.0.0.1:8000/assets/categories/1,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/assets/categories/2,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/assets/categories/3,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/contact-categories/create,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/38/edit,403,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/41/edit,403,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/44,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/43/edit,403,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/34/edit,403,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/45/contact-card,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/39/edit,403,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/131,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/40/edit,403,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/46/contact-card,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/45,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/41,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/44/contact-card,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/46/edit,403,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/37,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/37/contact-card,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/39/contact-card,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/batch-edit,500,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/47,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/48/contact-card,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/batch/create,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/35,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/41/contact-card,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/43,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users?page=2,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users-archived,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users?locale=ar,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/48,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/36,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/47/contact-card,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/38,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/contacts/export,500,Unknown Error,No specific error message found,
http://127.0.0.1:8000/assets/locations/1/edit,500,Unknown Error,No specific error message found,
http://127.0.0.1:8000/assets/locations/1,500,Unknown Error,No specific error message found,
http://127.0.0.1:8000/assets/assets/1,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/assets/assets/create?category_id=3,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/45/edit-contact-card,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/132/contact-card,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/46/edit-contact-card,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/44/edit-contact-card,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/37/edit-contact-card,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/39/edit-contact-card,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users/48/edit-contact-card,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users?page=2&locale=ar,200,Unknown Error,No specific error message found,
http://127.0.0.1:8000/users?page=1,200,Unknown Error,No specific error message found,
